"";"benchmark";"model_type";"aic";"binary_accuracy";"rmse"
"101";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + TruthfulQA_minus_1 + arithmetic_2da_2_acc_minus_1";"345.519254352889";"0.666666666666667";"0.0949235316447065"
"102";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + XWinograd_minus_1";"344.92306736631";"0.666666666666667";"0.0963178260865058"
"103";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + HumanEval_minus_1";"346.797118168863";"0.666666666666667";"0.0948370330932603"
"104";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + parsinlu_qa_2_acc_minus_1";"345.539609513221";"0.666666666666667";"0.0986337057137271"
"105";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + word_unscrambling_2_exact_match_minus_1";"346.864186841904";"0.666666666666667";"0.0938341098994109"
"106";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + ipa_transliterate_2_exact_match_minus_1";"346.459569511137";"0.666666666666667";"0.0972161791811842"
"107";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + ipa_transliterate_2_bleu_minus_1";"346.61851649671";"0.666666666666667";"0.0932555016468954"
"108";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + arithmetic_3ds_2_acc_minus_1";"345.911880344902";"0.666666666666667";"0.0882108002812289"
"109";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + arithmetic_3da_2_acc_minus_1";"345.948010066505";"0.666666666666667";"0.0922040559396566"
"110";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + arithmetic_2dm_2_acc_minus_1";"346.109319975839";"0.666666666666667";"0.0963007023540709"
"111";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + GSM8K_minus_1 + arithmetic_2da_2_acc_minus_1";"346.52618006417";"0.666666666666667";"0.0958636853876404"
"112";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + HumanEval_minus_1";"344.921983418634";"0.666666666666667";"0.0966112528891881"
"113";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + parsinlu_qa_2_acc_minus_1";"343.847877256186";"0.666666666666667";"0.100611674140826"
"114";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + word_unscrambling_2_exact_match_minus_1";"344.898624598461";"0.666666666666667";"0.0969026278080653"
"115";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + ipa_transliterate_2_exact_match_minus_1";"344.283086705631";"0.666666666666667";"0.100867054824423"
"116";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + ipa_transliterate_2_bleu_minus_1";"344.767232880375";"0.666666666666667";"0.0958772230525261"
"117";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + arithmetic_3ds_2_acc_minus_1";"343.356646977649";"0.666666666666667";"0.0901709156686755"
"118";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + arithmetic_3da_2_acc_minus_1";"344.439361298197";"0.666666666666667";"0.0947872295188309"
"119";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + arithmetic_2dm_2_acc_minus_1";"344.309184283897";"0.666666666666667";"0.0985045986524008"
"120";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + XWinograd_minus_1 + arithmetic_2da_2_acc_minus_1";"344.4841989066";"0.666666666666667";"0.0988566451302524"
"121";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + parsinlu_qa_2_acc_minus_1";"345.528218273613";"0.666666666666667";"0.0999175159530095"
"122";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + word_unscrambling_2_exact_match_minus_1";"346.885756863065";"0.666666666666667";"0.0947149186546622"
"123";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + ipa_transliterate_2_exact_match_minus_1";"346.524286501882";"0.666666666666667";"0.0976259371636895"
"124";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + ipa_transliterate_2_bleu_minus_1";"346.73045761578";"0.666666666666667";"0.093785907464507"
"125";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + arithmetic_3ds_2_acc_minus_1";"345.92983099314";"0.666666666666667";"0.0889305273916126"
"126";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + arithmetic_3da_2_acc_minus_1";"346.010466813845";"0.666666666666667";"0.0924482355474221"
"127";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + arithmetic_2dm_2_acc_minus_1";"346.242073936672";"0.666666666666667";"0.0960097660441112"
"128";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + HumanEval_minus_1 + arithmetic_2da_2_acc_minus_1";"346.625952051862";"0.666666666666667";"0.0961644708376825"
"129";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + parsinlu_qa_2_acc_minus_1 + word_unscrambling_2_exact_match_minus_1";"345.672934625566";"0.666666666666667";"0.0979735626363822"
"130";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + parsinlu_qa_2_acc_minus_1 + ipa_transliterate_2_exact_match_minus_1";"345.526720337998";"0.666666666666667";"0.0997730529947028"
"131";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + parsinlu_qa_2_acc_minus_1 + ipa_transliterate_2_bleu_minus_1";"345.257689023914";"0.666666666666667";"0.0979854299056794"
"132";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + parsinlu_qa_2_acc_minus_1 + arithmetic_3ds_2_acc_minus_1";"344.620208600699";"0.666666666666667";"0.0927742614704633"
"133";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + parsinlu_qa_2_acc_minus_1 + arithmetic_3da_2_acc_minus_1";"344.620888977355";"0.666666666666667";"0.0971112984330944"
"134";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + parsinlu_qa_2_acc_minus_1 + arithmetic_2dm_2_acc_minus_1";"344.944762914366";"0.666666666666667";"0.100836969893983"
"135";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + parsinlu_qa_2_acc_minus_1 + arithmetic_2da_2_acc_minus_1";"345.264027517178";"0.666666666666667";"0.100930748804564"
"136";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + word_unscrambling_2_exact_match_minus_1 + ipa_transliterate_2_exact_match_minus_1";"346.583737745887";"0.666666666666667";"0.0963129621810035"
"137";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + word_unscrambling_2_exact_match_minus_1 + ipa_transliterate_2_bleu_minus_1";"346.785843849495";"0.666666666666667";"0.0928823733232373"
"138";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + word_unscrambling_2_exact_match_minus_1 + arithmetic_3ds_2_acc_minus_1";"345.991991453297";"0.666666666666667";"0.087728660351669"
"139";"TruthfulQA";"log(FLOPs..1E21. + 0.001) + (1 | Model.Family) + word_unscrambling_2_exact_match_minus_1 + arithmetic_3da_2_acc_minus_1";"346.024945764782";"0.666666666666667";"0.0920439401399525"
